namespace,phase,unix_ts
gsm-1,t0,1781506392.753121396
gsm-1,t_apply,1781506393.286255033
gsm-1,t_ready,1781506430.187744089
gsm-1,t_attached,1781506430.526191706
gsm-1,t_test0,1781506430.527600334
gsm-1,t_testN,1781506850.255701551
gsm-1,t_teardown,1781506901.408160218
gsm-1,t0,1781506901.490562455
gsm-1,t_apply,1781506902.627981238
gsm-1,t_ready,1781506938.943347800
gsm-1,t_attached,1781506939.986988111
gsm-1,t_test0,1781506939.988812588
gsm-1,t_testN,1781507033.714836648
gsm-1,t_teardown,1781507079.521706415
gsm-1,t0,1781507079.607290562
gsm-1,t_apply,1781507080.674163297
gsm-1,t_ready,1781507117.347366858
gsm-1,t_attached,1781507117.654202045
gsm-1,t_test0,1781507117.656009911
gsm-1,t_testN,1781507265.126880061
gsm-1,t_teardown,1781507319.147328871
gsm-1,t0,1781507319.234950861
gsm-1,t_apply,1781507320.639008130
gsm-1,t_ready,1781507357.955409418
gsm-1,t_attached,1781507358.258475737
gsm-1,t_test0,1781507358.259799824
gsm-1,t_testN,1781507473.061635399
gsm-1,t_teardown,1781507525.311844575
gsm-2,t0,1781506392.753221837
gsm-2,t_apply,1781506393.260762856
gsm-2,t_ready,1781506430.185006543
gsm-2,t_attached,1781506430.520873499
gsm-2,t_test0,1781506430.522496900
gsm-2,t_testN,1781506629.098657891
gsm-2,t_teardown,1781506681.016273559
gsm-2,t0,1781506681.107102618
gsm-2,t_apply,1781506682.645938561
gsm-2,t_ready,1781506718.896867777
gsm-2,t_attached,1781506719.234812858
gsm-2,t_test0,1781506719.236123366
gsm-2,t_testN,1781506762.334933635
gsm-2,t_teardown,1781506814.059833351
gsm-2,t0,1781506814.258899264
gsm-2,t_apply,1781506815.614312419
gsm-2,t_ready,1781506851.734723823
gsm-2,t_attached,1781506852.102359626
gsm-2,t_test0,1781506852.107066473
gsm-2,t_testN,1781506948.117898548
gsm-2,t_teardown,1781507000.198313282
gsm-2,t0,1781507000.282867528
gsm-2,t_apply,1781507001.421945882
gsm-2,t_ready,1781507038.003067567
gsm-2,t_attached,1781507038.401841431
gsm-2,t_test0,1781507038.403110733
gsm-2,t_testN,1781507368.491612931
gsm-2,t_teardown,1781507422.563902323
