unix_ts,namespace,pod,cpu_m,mem_mib
1781686353,kube-system,coredns-c4dbffb5f-p9rsr,3,25
1781686353,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,14
1781686353,kube-system,metrics-server-786d997795-hcp2m,7,43
1781686353,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781686353,kube-system,traefik-9bcdbbd9-qtpjt,1,39
1781686356,kube-system,coredns-c4dbffb5f-p9rsr,3,25
1781686356,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,14
1781686356,kube-system,metrics-server-786d997795-hcp2m,7,43
1781686356,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781686356,kube-system,traefik-9bcdbbd9-qtpjt,1,39
1781686359,kube-system,coredns-c4dbffb5f-p9rsr,3,25
1781686359,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,14
1781686359,kube-system,metrics-server-786d997795-hcp2m,7,43
1781686359,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781686359,kube-system,traefik-9bcdbbd9-qtpjt,1,39
1781686363,kube-system,coredns-c4dbffb5f-p9rsr,3,25
1781686363,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,14
1781686363,kube-system,metrics-server-786d997795-hcp2m,7,43
1781686363,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781686363,kube-system,traefik-9bcdbbd9-qtpjt,1,39
1781686368,gsm-14,osmo-mgw-8c8fc67d6-5bpqf,4,2
1781686368,kube-system,coredns-c4dbffb5f-p9rsr,5,25
1781686368,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,14
1781686368,kube-system,metrics-server-786d997795-hcp2m,7,43
1781686368,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781686368,kube-system,traefik-9bcdbbd9-qtpjt,6,41
1781686377,gsm-14,osmo-mgw-8c8fc67d6-5bpqf,4,2
1781686377,kube-system,coredns-c4dbffb5f-p9rsr,5,25
1781686377,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,14
1781686377,kube-system,metrics-server-786d997795-hcp2m,7,43
1781686377,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781686377,kube-system,traefik-9bcdbbd9-qtpjt,6,41
1781686388,gsm-13,osmo-mgw-8c8fc67d6-lsfp2,3,2
1781686388,gsm-13,osmo-stp-768687f494-225xw,4,2
1781686388,gsm-14,osmo-bsc-594654bd47-st8hd,3,5
1781686388,gsm-14,osmo-bts-virtual-5f8b9b86fc-4d6h8,20,5
1781686388,gsm-14,osmo-hlr-546bdb8988-xk29h,1,2
1781686388,gsm-14,osmo-mgw-8c8fc67d6-5bpqf,1,2
1781686388,gsm-14,osmo-mobile-5dff596c47-kdn72,16,37
1781686388,gsm-14,osmo-stp-768687f494-djjsq,1,2
1781686388,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,5,0
1781686388,gsm-15,osmo-hlr-546bdb8988-zpdhq,4,2
1781686388,gsm-16,osmo-stp-768687f494-rzk2x,1,2
1781686388,gsm-16,virtphy-7ff7d8df7d-t4xtj,5,0
1781686388,gsm-6,osmo-mobile-7b8d4df666-khgg7,9,20
1781686388,gsm-6,osmo-stp-768687f494-9mjtp,3,2
1781686388,gsm-7,osmo-bsc-594654bd47-qmz4c,4,5
1781686388,gsm-7,osmo-hlr-546bdb8988-rpfg8,1,2
1781686388,gsm-7,osmo-mgw-8c8fc67d6-p2gg4,1,2
1781686388,gsm-7,virtphy-6cd7658d46-c7ddj,5,3
1781686388,kube-system,coredns-c4dbffb5f-p9rsr,7,25
1781686388,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,14
1781686388,kube-system,metrics-server-786d997795-hcp2m,9,43
1781686388,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781686388,kube-system,traefik-9bcdbbd9-qtpjt,2,42
1781686395,gsm-13,osmo-mgw-8c8fc67d6-lsfp2,3,2
1781686395,gsm-13,osmo-stp-768687f494-225xw,4,2
1781686395,gsm-14,osmo-bsc-594654bd47-st8hd,3,5
1781686395,gsm-14,osmo-bts-virtual-5f8b9b86fc-4d6h8,20,5
1781686395,gsm-14,osmo-hlr-546bdb8988-xk29h,1,2
1781686395,gsm-14,osmo-mgw-8c8fc67d6-5bpqf,1,2
1781686395,gsm-14,osmo-mobile-5dff596c47-kdn72,16,37
1781686395,gsm-14,osmo-stp-768687f494-djjsq,1,2
1781686395,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,5,0
1781686395,gsm-15,osmo-hlr-546bdb8988-zpdhq,4,2
1781686395,gsm-16,osmo-stp-768687f494-rzk2x,1,2
1781686395,gsm-16,virtphy-7ff7d8df7d-t4xtj,5,0
1781686395,gsm-6,msc-test-stub-5b875d749d-bgpbv,4,0
1781686395,gsm-6,osmo-mobile-7b8d4df666-khgg7,9,20
1781686395,gsm-6,osmo-stp-768687f494-9mjtp,3,2
1781686395,gsm-7,osmo-bsc-594654bd47-qmz4c,4,5
1781686395,gsm-7,osmo-hlr-546bdb8988-rpfg8,1,2
1781686395,gsm-7,osmo-mgw-8c8fc67d6-p2gg4,1,2
1781686395,gsm-7,virtphy-6cd7658d46-c7ddj,5,3
1781686395,kube-system,coredns-c4dbffb5f-p9rsr,7,25
1781686395,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,14
1781686395,kube-system,metrics-server-786d997795-hcp2m,9,43
1781686395,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781686395,kube-system,traefik-9bcdbbd9-qtpjt,2,42
1781686399,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686399,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,14,8
1781686399,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686399,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,7,28
1781686399,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686399,gsm-13,osmo-bsc-594654bd47-94xnp,4,5
1781686399,gsm-13,osmo-hlr-546bdb8988-52qds,1,2
1781686399,gsm-13,osmo-mgw-8c8fc67d6-lsfp2,1,2
1781686399,gsm-13,osmo-mobile-78d649dbd4-9vtdb,11,31
1781686399,gsm-13,osmo-stp-768687f494-225xw,1,2
1781686399,gsm-14,osmo-bsc-594654bd47-st8hd,1,5
1781686399,gsm-14,osmo-bts-virtual-5f8b9b86fc-4d6h8,20,5
1781686399,gsm-14,osmo-hlr-546bdb8988-xk29h,1,2
1781686399,gsm-14,osmo-mgw-8c8fc67d6-5bpqf,1,2
1781686399,gsm-14,osmo-mobile-5dff596c47-kdn72,4,37
1781686399,gsm-14,osmo-stp-768687f494-djjsq,1,2
1781686399,gsm-14,virtphy-694d588996-r56tj,8,1
1781686399,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,8,0
1781686399,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686399,gsm-16,osmo-bts-virtual-5f8b9b86fc-j9mkj,27,5
1781686399,gsm-16,osmo-hlr-546bdb8988-kgnnq,1,2
1781686399,gsm-16,osmo-mgw-8c8fc67d6-p28gs,1,2
1781686399,gsm-16,osmo-mobile-59db459c77-lzhbc,4,28
1781686399,gsm-16,osmo-stp-768687f494-rzk2x,1,2
1781686399,gsm-16,virtphy-7ff7d8df7d-t4xtj,8,1
1781686399,gsm-3,osmo-mgw-8c8fc67d6-mdnld,6,2
1781686399,gsm-6,osmo-mobile-7b8d4df666-khgg7,23,26
1781686399,gsm-6,osmo-stp-768687f494-9mjtp,1,2
1781686399,gsm-7,osmo-bsc-594654bd47-qmz4c,1,5
1781686399,gsm-7,osmo-bts-virtual-5f8b9b86fc-cdvvk,27,5
1781686399,gsm-7,osmo-hlr-546bdb8988-rpfg8,1,2
1781686399,gsm-7,osmo-mgw-8c8fc67d6-p2gg4,1,2
1781686399,gsm-7,osmo-mobile-6865667c79-bhtbh,3,28
1781686399,gsm-7,osmo-stp-768687f494-4rjdf,1,2
1781686399,gsm-7,virtphy-6cd7658d46-c7ddj,8,1
1781686399,kube-system,coredns-c4dbffb5f-p9rsr,12,26
1781686399,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,14
1781686399,kube-system,metrics-server-786d997795-hcp2m,8,43
1781686399,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781686399,kube-system,traefik-9bcdbbd9-qtpjt,3,43
1781686402,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686402,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,14,8
1781686402,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686402,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,7,28
1781686402,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686402,gsm-13,osmo-bsc-594654bd47-94xnp,4,5
1781686402,gsm-13,osmo-hlr-546bdb8988-52qds,1,2
1781686402,gsm-13,osmo-mgw-8c8fc67d6-lsfp2,1,2
1781686402,gsm-13,osmo-mobile-78d649dbd4-9vtdb,11,31
1781686402,gsm-13,osmo-stp-768687f494-225xw,1,2
1781686402,gsm-14,osmo-bsc-594654bd47-st8hd,1,5
1781686402,gsm-14,osmo-bts-virtual-5f8b9b86fc-4d6h8,20,5
1781686402,gsm-14,osmo-hlr-546bdb8988-xk29h,1,2
1781686402,gsm-14,osmo-mgw-8c8fc67d6-5bpqf,1,2
1781686402,gsm-14,osmo-mobile-5dff596c47-kdn72,4,37
1781686402,gsm-14,osmo-stp-768687f494-djjsq,1,2
1781686402,gsm-14,virtphy-694d588996-r56tj,8,1
1781686402,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,8,0
1781686402,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686402,gsm-16,osmo-bts-virtual-5f8b9b86fc-j9mkj,27,5
1781686402,gsm-16,osmo-hlr-546bdb8988-kgnnq,1,2
1781686402,gsm-16,osmo-mgw-8c8fc67d6-p28gs,1,2
1781686402,gsm-16,osmo-mobile-59db459c77-lzhbc,4,28
1781686402,gsm-16,osmo-stp-768687f494-rzk2x,1,2
1781686402,gsm-16,virtphy-7ff7d8df7d-t4xtj,8,1
1781686402,gsm-3,osmo-mgw-8c8fc67d6-mdnld,6,2
1781686402,gsm-6,osmo-mobile-7b8d4df666-khgg7,23,26
1781686402,gsm-6,osmo-stp-768687f494-9mjtp,1,2
1781686402,gsm-7,osmo-bsc-594654bd47-qmz4c,1,5
1781686402,gsm-7,osmo-bts-virtual-5f8b9b86fc-cdvvk,27,5
1781686402,gsm-7,osmo-hlr-546bdb8988-rpfg8,1,2
1781686402,gsm-7,osmo-mgw-8c8fc67d6-p2gg4,1,2
1781686402,gsm-7,osmo-mobile-6865667c79-bhtbh,3,28
1781686402,gsm-7,osmo-stp-768687f494-4rjdf,1,2
1781686402,gsm-7,virtphy-6cd7658d46-c7ddj,8,1
1781686402,kube-system,coredns-c4dbffb5f-p9rsr,12,26
1781686402,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,14
1781686402,kube-system,metrics-server-786d997795-hcp2m,8,43
1781686402,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781686402,kube-system,traefik-9bcdbbd9-qtpjt,3,43
1781686404,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686404,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,14,8
1781686404,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686404,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,7,28
1781686404,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686404,gsm-13,osmo-bsc-594654bd47-94xnp,4,5
1781686404,gsm-13,osmo-hlr-546bdb8988-52qds,1,2
1781686404,gsm-13,osmo-mgw-8c8fc67d6-lsfp2,1,2
1781686404,gsm-13,osmo-mobile-78d649dbd4-9vtdb,11,31
1781686404,gsm-13,osmo-stp-768687f494-225xw,1,2
1781686404,gsm-14,osmo-bsc-594654bd47-st8hd,1,5
1781686404,gsm-14,osmo-bts-virtual-5f8b9b86fc-4d6h8,20,5
1781686404,gsm-14,osmo-hlr-546bdb8988-xk29h,1,2
1781686404,gsm-14,osmo-mgw-8c8fc67d6-5bpqf,1,2
1781686404,gsm-14,osmo-mobile-5dff596c47-kdn72,4,37
1781686404,gsm-14,osmo-stp-768687f494-djjsq,1,2
1781686404,gsm-14,virtphy-694d588996-r56tj,8,1
1781686404,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,8,0
1781686404,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686404,gsm-16,osmo-bts-virtual-5f8b9b86fc-j9mkj,27,5
1781686404,gsm-16,osmo-hlr-546bdb8988-kgnnq,1,2
1781686404,gsm-16,osmo-mgw-8c8fc67d6-p28gs,1,2
1781686404,gsm-16,osmo-mobile-59db459c77-lzhbc,4,28
1781686404,gsm-16,osmo-stp-768687f494-rzk2x,1,2
1781686404,gsm-16,virtphy-7ff7d8df7d-t4xtj,8,1
1781686404,gsm-3,osmo-mgw-8c8fc67d6-mdnld,6,2
1781686404,gsm-6,osmo-mobile-7b8d4df666-khgg7,23,26
1781686404,gsm-6,osmo-stp-768687f494-9mjtp,1,2
1781686404,gsm-7,osmo-bsc-594654bd47-qmz4c,1,5
1781686404,gsm-7,osmo-bts-virtual-5f8b9b86fc-cdvvk,27,5
1781686404,gsm-7,osmo-hlr-546bdb8988-rpfg8,1,2
1781686404,gsm-7,osmo-mgw-8c8fc67d6-p2gg4,1,2
1781686404,gsm-7,osmo-mobile-6865667c79-bhtbh,3,28
1781686404,gsm-7,osmo-stp-768687f494-4rjdf,1,2
1781686404,gsm-7,virtphy-6cd7658d46-c7ddj,8,1
1781686404,kube-system,coredns-c4dbffb5f-p9rsr,12,26
1781686404,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,14
1781686404,kube-system,metrics-server-786d997795-hcp2m,8,43
1781686404,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781686404,kube-system,traefik-9bcdbbd9-qtpjt,3,43
1781686407,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686407,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,14,8
1781686407,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686407,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,7,28
1781686407,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686407,gsm-13,osmo-bsc-594654bd47-94xnp,4,5
1781686407,gsm-13,osmo-hlr-546bdb8988-52qds,1,2
1781686407,gsm-13,osmo-mgw-8c8fc67d6-lsfp2,1,2
1781686407,gsm-13,osmo-mobile-78d649dbd4-9vtdb,11,31
1781686407,gsm-13,osmo-stp-768687f494-225xw,1,2
1781686407,gsm-14,osmo-bsc-594654bd47-st8hd,1,5
1781686407,gsm-14,osmo-bts-virtual-5f8b9b86fc-4d6h8,20,5
1781686407,gsm-14,osmo-hlr-546bdb8988-xk29h,1,2
1781686407,gsm-14,osmo-mgw-8c8fc67d6-5bpqf,1,2
1781686407,gsm-14,osmo-mobile-5dff596c47-kdn72,4,37
1781686407,gsm-14,osmo-stp-768687f494-djjsq,1,2
1781686407,gsm-14,virtphy-694d588996-r56tj,8,1
1781686407,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,8,0
1781686407,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686407,gsm-16,osmo-bts-virtual-5f8b9b86fc-j9mkj,27,5
1781686407,gsm-16,osmo-hlr-546bdb8988-kgnnq,1,2
1781686407,gsm-16,osmo-mgw-8c8fc67d6-p28gs,1,2
1781686407,gsm-16,osmo-mobile-59db459c77-lzhbc,4,28
1781686407,gsm-16,osmo-stp-768687f494-rzk2x,1,2
1781686407,gsm-16,virtphy-7ff7d8df7d-t4xtj,8,1
1781686407,gsm-3,osmo-mgw-8c8fc67d6-mdnld,6,2
1781686407,gsm-6,osmo-mobile-7b8d4df666-khgg7,23,26
1781686407,gsm-6,osmo-stp-768687f494-9mjtp,1,2
1781686407,gsm-7,osmo-bsc-594654bd47-qmz4c,1,5
1781686407,gsm-7,osmo-bts-virtual-5f8b9b86fc-cdvvk,27,5
1781686407,gsm-7,osmo-hlr-546bdb8988-rpfg8,1,2
1781686407,gsm-7,osmo-mgw-8c8fc67d6-p2gg4,1,2
1781686407,gsm-7,osmo-mobile-6865667c79-bhtbh,3,28
1781686407,gsm-7,osmo-stp-768687f494-4rjdf,1,2
1781686407,gsm-7,virtphy-6cd7658d46-c7ddj,8,1
1781686407,kube-system,coredns-c4dbffb5f-p9rsr,12,26
1781686407,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,14
1781686407,kube-system,metrics-server-786d997795-hcp2m,8,43
1781686407,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781686407,kube-system,traefik-9bcdbbd9-qtpjt,3,43
1781686410,gsm-10,msc-test-stub-5b875d749d-jn2kt,4,16
1781686410,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686410,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686410,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686410,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686410,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,2,28
1781686410,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686410,gsm-10,virtphy-65b766dcb8-fchgr,6,1
1781686410,gsm-11,osmo-bsc-594654bd47-gj9r5,1,5
1781686410,gsm-11,osmo-bts-virtual-5f8b9b86fc-z4z68,26,5
1781686410,gsm-11,osmo-hlr-546bdb8988-v77tj,0,2
1781686410,gsm-11,osmo-mgw-8c8fc67d6-n28m5,1,2
1781686410,gsm-11,osmo-mobile-7d9d749446-l6mlz,8,28
1781686410,gsm-11,osmo-stp-768687f494-dtdmd,1,2
1781686410,gsm-11,virtphy-85bb76b745-c6gk4,8,1
1781686410,gsm-12,osmo-bsc-594654bd47-mfjgv,4,0
1781686410,gsm-13,osmo-bsc-594654bd47-94xnp,1,5
1781686410,gsm-13,osmo-bts-virtual-5f8b9b86fc-rjv4l,26,5
1781686410,gsm-13,osmo-hlr-546bdb8988-52qds,1,2
1781686410,gsm-13,osmo-mgw-8c8fc67d6-lsfp2,1,2
1781686410,gsm-13,osmo-mobile-78d649dbd4-9vtdb,2,31
1781686410,gsm-13,osmo-stp-768687f494-225xw,1,2
1781686410,gsm-13,virtphy-7f6dc4d8b7-zqhlv,6,1
