namespace,phase,unix_ts
gsm-1,t0,1781529865.690462146
gsm-1,t_apply,1781529866.941030930
gsm-1,t_ready,1781529914.602082548
gsm-1,t_attached,1781529922.365715282
gsm-1,t_test0,1781529922.368023524
gsm-1,t_testN,1781530337.132273243
gsm-1,t_teardown,1781530391.025762192
gsm-2,t0,1781529865.695389484
gsm-2,t_apply,1781529866.680836776
gsm-2,t_ready,1781529903.333282298
gsm-2,t_attached,1781529904.622234396
gsm-2,t_test0,1781529904.624728694
gsm-2,t_testN,1781530098.199676886
gsm-2,t_teardown,1781530154.058755223
gsm-3,t0,1781529865.694333890
gsm-3,t_apply,1781529866.861658270
gsm-3,t_ready,1781529908.948753068
gsm-3,t_attached,1781529910.117741194
gsm-3,t_test0,1781529910.120320015
gsm-3,t_testN,1781530002.536987276
gsm-3,t_teardown,1781530059.048368377
gsm-4,t0,1781529865.695895520
gsm-4,t_apply,1781529866.813156568
gsm-4,t_ready,1781529903.481687807
gsm-4,t_attached,1781529911.004189983
gsm-4,t_test0,1781529911.005679340
gsm-4,t_testN,1781530007.110520100
gsm-4,t_teardown,1781530064.588185695
gsm-5,t0,1781529865.697942388
gsm-5,t_apply,1781529866.874460877
gsm-5,t_ready,1781529908.956188442
gsm-5,t_attached,1781529913.304672542
gsm-5,t_test0,1781529913.306278915
gsm-5,t_testN,1781530113.482715716
gsm-5,t_teardown,1781530167.073452779
gsm-6,t0,1781529865.700110972
gsm-6,t_apply,1781529866.540187665
gsm-6,t_ready,1781529903.318260464
gsm-6,t_attached,1781529904.625092109
gsm-6,t_test0,1781529904.627142315
gsm-6,t_testN,1781529993.175626697
gsm-6,t_teardown,1781530047.567650413
gsm-7,t0,1781529865.699708256
gsm-7,t_apply,1781529866.771847252
gsm-7,t_ready,1781529903.492809101
gsm-7,t_attached,1781529907.790717054
gsm-7,t_test0,1781529907.793922035
gsm-7,t_testN,1781530019.640351896
gsm-7,t_teardown,1781530072.558778533
gsm-8,t0,1781529865.703274128
gsm-8,t_apply,1781529866.898156832
gsm-8,t_ready,1781529914.584492819
gsm-8,t_attached,1781529915.715343621
gsm-8,t_test0,1781529915.717955959
gsm-8,t_testN,1781530226.173646968
gsm-8,t_teardown,1781530282.108682403
