unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw
1780469227,14.29,48900620,9.09,986,1572864,136032,334
1780469228,43.46,49000184,9.09,1010,1572864,136224,337
1780469229,75.84,49240736,9.09,1040,1572864,136800,318
1780469230,69.53,49167680,14.69,1090,1572864,136992,324
1780469231,77.81,49191592,14.69,1069,1572864,137184,327
1780469232,51.31,49149288,14.69,1109,1572864,137088,332
1780469233,43.80,49204132,14.69,1133,1572864,137088,319
1780469234,19.67,49148220,14.69,1137,1572864,137184,325
1780469236,18.84,49152416,13.99,1198,1572864,137184,333
1780469237,16.05,49158760,13.99,1201,1572864,136992,344
1780469238,17.72,48966108,13.99,1238,1572864,136896,325
1780469239,26.53,49086456,13.99,1268,1572864,137088,329
1780469240,19.98,49110524,13.51,1412,1572864,136992,339
1780469241,19.90,49170600,13.51,1430,1572864,136992,348
1780469242,44.79,49203700,13.51,1481,1572864,136992,332
1780469243,18.59,49159832,13.51,1500,1572864,136992,348
1780469244,17.59,49192132,13.51,1524,1572864,136992,359
1780469245,18.51,49170148,12.99,1534,1572864,136992,360
1780469246,15.92,49139064,12.99,1562,1572864,136992,349
1780469247,14.47,49127676,12.99,1579,1572864,136992,356
1780469248,15.38,49127828,12.99,1603,1572864,136896,361
1780469249,22.57,49126332,12.99,1628,1572864,136704,377
1780469250,26.50,49111464,12.99,1641,1572864,136704,371
1780469251,26.33,49124704,12.99,1656,1572864,136704,376
1780469252,16.93,49053076,12.99,1672,1572864,136704,387
1780469253,15.49,49037144,12.99,1689,1572864,136704,396
1780469254,15.17,49046012,12.99,1710,1572864,136800,391
1780469255,18.12,49105148,12.35,1726,1572864,136704,399
1780469256,20.64,49105312,12.35,1741,1572864,136800,407
1780469258,19.42,49105224,12.35,1759,1572864,136800,415
1780469259,17.05,49096408,12.35,1776,1572864,136704,399
1780469260,19.25,49081972,11.76,1788,1572864,136704,406
1780469261,17.33,49069776,11.76,1808,1572864,136704,419
1780469262,19.50,49115588,11.76,1822,1572864,136704,427
1780469263,19.17,49107548,11.76,1828,1572864,136704,409
1780469264,19.74,49081424,11.76,1844,1572864,136704,421
1780469265,17.65,49088696,11.62,1856,1572864,136608,428
1780469266,17.58,49073408,11.62,1867,1572864,136608,436
1780469267,21.81,49158296,11.62,1909,1572864,136608,427
1780469268,38.46,49146216,11.62,1925,1572864,136800,432
1780469269,41.51,49113584,11.62,1940,1572864,136896,443
1780469270,17.47,49132920,11.17,1965,1572864,136992,453
1780469271,20.73,49113700,11.17,1982,1572864,136896,443
1780469272,18.57,49036880,11.17,1991,1572864,136800,449
1780469273,16.74,49045616,11.17,2064,1572864,136800,459
1780469274,18.15,49071260,11.17,2080,1572864,136896,441
1780469275,27.13,49066132,11.80,2092,1572864,136896,452
1780469276,41.54,49056516,11.80,2114,1572864,137184,464
1780469277,21.09,49103668,11.80,2134,1572864,137088,470
1780469278,17.84,49081092,11.80,2156,1572864,137088,462
1780469280,16.11,49081060,11.80,2174,1572864,136896,474
1780469281,16.96,49091036,11.33,2185,1572864,136800,481
1780469282,15.82,49105832,11.33,2201,1572864,136800,494
1780469283,16.02,49101516,11.33,2213,1572864,136800,487
1780469284,19.02,49075140,11.33,2221,1572864,136800,491
1780469285,74.48,49018444,12.75,1869,1572864,136608,500
1780469286,35.88,48994308,12.75,1216,1572864,136800,512
1780469287,20.64,49014068,12.75,1197,1572864,136800,496
1780469288,16.66,48979516,12.75,1212,1572864,136800,505
1780469289,15.93,48956952,12.75,1227,1572864,136704,515
1780469290,21.17,48958048,12.37,1235,1572864,136704,519
1780469291,17.15,48956212,12.37,1250,1572864,136608,505
1780469292,15.81,48948248,12.37,1262,1572864,136608,514
1780469293,15.75,48967652,12.37,1270,1572864,136608,517
1780469294,16.35,48988536,12.37,1282,1572864,136608,525
1780469295,17.73,48991416,11.86,1294,1572864,136608,511
1780469296,15.89,49026900,11.86,1309,1572864,136608,524
1780469297,18.84,48999304,11.86,1324,1572864,136704,532
1780469298,17.32,49002784,11.86,1340,1572864,136704,542
1780469299,17.71,49037872,11.86,1352,1572864,136704,520
1780469300,18.84,49008556,11.95,1367,1572864,136608,525
